iter	MultiClass
0	0.6307329533
1	0.5817591039
2	0.541893307
3	0.5102091351
4	0.4839102933
5	0.4622046491
6	0.4440392275
7	0.4289766411
8	0.4163034558
9	0.4055305791
10	0.3965622393
11	0.3887053406
12	0.3823831429
13	0.3765654793
14	0.3718444849
15	0.3674411728
16	0.3639241503
17	0.3606868963
18	0.3580765501
19	0.3555751272
20	0.3534858251
21	0.3517890028
22	0.3502391406
23	0.3488616528
24	0.3475153116
25	0.3463442276
26	0.3454104708
27	0.3443400219
28	0.343420574
29	0.3425875863
30	0.3420516015
31	0.3414389258
32	0.3408806266
33	0.3403594543
34	0.3399906174
35	0.3396319268
36	0.3393157495
37	0.3388954979
38	0.3386015633
39	0.3382818308
40	0.3380214154
41	0.3376778226
42	0.3374341817
43	0.3371646428
44	0.336857109
45	0.3366600174
46	0.3364193392
47	0.3361262827
48	0.3359658319
49	0.3356969194
50	0.3355066525
51	0.3352993196
52	0.3351143
53	0.3349680636
54	0.3348193751
55	0.3346937544
56	0.3345301588
57	0.3343949913
58	0.3342609213
59	0.3341326424
60	0.3339873696
61	0.3338429225
62	0.333749127
63	0.3336371625
64	0.3334930084
65	0.3333708435
66	0.3332555782
67	0.3331741535
68	0.3330575997
69	0.3329709353
70	0.3328906797
71	0.3327887119
72	0.332675838
73	0.3325765177
74	0.332471282
75	0.3324133712
76	0.3323269409
77	0.3322479202
78	0.3321336542
79	0.3320311842
80	0.3319819712
81	0.3319370516
82	0.3318553263
83	0.3317955836
84	0.3317428131
85	0.331663362
86	0.3316213404
87	0.3315649758
88	0.3314817556
89	0.3314109126
90	0.3313332182
91	0.33124839
92	0.3312037273
93	0.331127739
94	0.3310609698
95	0.3309912572
96	0.330895103
97	0.3308495454
98	0.3307822028
99	0.330718606
100	0.3306481324
101	0.330600405
102	0.3305065916
103	0.3304379273
104	0.3303886969
105	0.3303538003
106	0.3302989753
107	0.3302554685
108	0.3302145732
109	0.3301661685
110	0.3301111869
111	0.3300614996
112	0.3300171359
113	0.3299680002
114	0.3299253847
115	0.3298684033
116	0.3298319969
117	0.3297754166
118	0.3297266021
119	0.3296716005
120	0.3296007257
121	0.3295331131
122	0.3294768748
123	0.3294159047
124	0.3293716524
125	0.3293137831
126	0.3292372836
127	0.3291902025
128	0.3291225571
129	0.329064797
130	0.329020897
131	0.3289394074
132	0.3288942575
133	0.3288516472
134	0.3287996754
135	0.3287688071
136	0.3287050318
137	0.3286596941
138	0.3286012367
139	0.328570385
140	0.3285178362
141	0.3284652466
142	0.3284203189
143	0.3283745914
144	0.3283457232
145	0.3282916833
146	0.3282289126
147	0.3281839603
148	0.3281487393
149	0.328098807
