iter	Passed	Remaining
0	535	534860
1	850	424204
2	1156	384220
3	1393	346880
4	1736	345627
5	1996	330740
6	2256	320164
7	2429	301275
8	2589	285106
9	2745	271849
10	2914	262083
11	3069	252714
12	3223	244771
13	3378	237913
14	3557	233639
15	3723	229019
16	3894	225171
17	4056	221322
18	4268	220373
19	4412	216213
20	4561	212674
21	4708	209314
22	4864	206621
23	5018	204082
24	5171	201669
25	5318	199223
26	5468	197074
27	5626	195324
28	5788	193802
29	5969	193018
30	6150	192263
31	6278	189910
32	6434	188553
33	6577	186889
34	6785	187086
35	6993	187273
36	7207	187576
37	7405	187476
38	7647	188442
39	7846	188311
40	8025	187714
41	8176	186500
42	8328	185348
43	8488	184435
44	8655	183690
45	8790	182312
46	8932	181127
47	9090	180298
48	9268	179888
49	9394	178499
50	9551	177728
51	9811	178871
52	10146	181301
53	10511	184152
54	10978	188624
55	11315	190741
56	11519	190575
57	11832	192169
58	12169	194099
59	12471	195387
60	12639	194567
61	12839	194255
62	13015	193581
63	13238	193618
64	13408	192875
65	13597	192425
66	13794	192087
67	13946	191149
68	14119	190515
69	14325	190319
70	14471	189353
71	14672	189115
72	14894	189145
73	15043	188249
